Issue Key,Summary,Xray Status,Laeufe,Alle Ergebnisse,Letzte Ausfuehrung,Letztes Datum
KAN-601,E2-02 Suchvorschläge erhalten - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:35:39.130Z
KAN-602,E2-02 Suchvorschläge erhalten - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:34:40.267Z
KAN-603,E2-02 Suchvorschläge erhalten - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:33:34.658Z
KAN-604,E2-03 Nach Sportart und Saison filtern - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:32:35.479Z
KAN-605,E2-03 Nach Sportart und Saison filtern - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:31:40.350Z
KAN-606,E2-03 Nach Sportart und Saison filtern - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:30:43.190Z
KAN-607,E2-04 Nach Kartentyp und Set filtern - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:29:46.966Z
KAN-608,E2-04 Nach Kartentyp und Set filtern - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:28:46.981Z
KAN-609,E2-04 Nach Kartentyp und Set filtern - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:27:51.166Z
KAN-610,E2-05 Nach Zustand filtern - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:26:52.276Z
KAN-611,E2-05 Nach Zustand filtern - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:25:46.939Z
KAN-612,E2-05 Nach Zustand filtern - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:24:36.978Z
KAN-613,E2-06 Nach Preis und Verfügbarkeit filtern - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:23:41.389Z
KAN-614,E2-06 Nach Preis und Verfügbarkeit filtern - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:22:39.524Z
KAN-615,E2-06 Nach Preis und Verfügbarkeit filtern - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:21:33.926Z
KAN-616,E2-07 Filter kombinieren - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:20:35.846Z
KAN-617,E2-07 Filter kombinieren - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:19:40.454Z
KAN-618,E2-07 Filter kombinieren - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:18:41.047Z
KAN-619,E2-08 Ergebnisse sortieren - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:17:46.153Z
KAN-620,E2-08 Ergebnisse sortieren - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:16:46.857Z
KAN-621,E2-08 Ergebnisse sortieren - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:15:51.886Z
KAN-622,E2-09 Ergebnisse paginieren - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:14:10.813Z
KAN-623,E2-09 Ergebnisse paginieren - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:13:15.901Z
KAN-624,E2-09 Ergebnisse paginieren - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:12:14.972Z
KAN-625,E2-10 Produktdetailseite anzeigen - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:11:19.525Z
KAN-626,E2-10 Produktdetailseite anzeigen - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:10:18.992Z
KAN-627,E2-10 Produktdetailseite anzeigen - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:08:07.420Z
KAN-628,E2-11 Produktbilder vergrößern - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:06:53.661Z
KAN-629,E2-11 Produktbilder vergrößern - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:05:47.984Z
KAN-630,E2-11 Produktbilder vergrößern - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:04:48.349Z
KAN-631,E2-12 Ähnliche Karten anzeigen - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:03:42.772Z
KAN-632,E2-12 Ähnliche Karten anzeigen - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T07:02:44.824Z
KAN-633,E2-12 Ähnliche Karten anzeigen - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T07:01:37.897Z
KAN-634,E2-13 Leere und fehlerhafte Ergebnisse verstehen - Treffer und Navigation,PASSED,1,PASSED,KAN-899,2026-08-15T07:00:31.105Z
KAN-635,E2-13 Leere und fehlerhafte Ergebnisse verstehen - Keine Treffer und Fehler,PASSED,1,PASSED,KAN-899,2026-08-15T06:59:35.722Z
KAN-636,E2-13 Leere und fehlerhafte Ergebnisse verstehen - Responsive und Accessibility,FAILED,1,FAILED,KAN-899,2026-08-15T06:58:36.491Z
KAN-637,E3-01 Karte in den Warenkorb legen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:57:41.566Z
KAN-638,E3-01 Karte in den Warenkorb legen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:56:43.178Z
KAN-639,E3-01 Karte in den Warenkorb legen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:55:47.887Z
KAN-640,E3-02 Warenkorbmenge ändern - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:50:59.752Z
KAN-641,E3-02 Warenkorbmenge ändern - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:44:56.203Z
KAN-642,E3-02 Warenkorbmenge ändern - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:43:35.260Z
KAN-643,E3-03 Warenkorbartikel entfernen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:42:09.196Z
KAN-644,E3-03 Warenkorbartikel entfernen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:40:48.654Z
KAN-645,E3-03 Warenkorbartikel entfernen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:39:24.895Z
KAN-646,E3-04 Gesamtpreis anzeigen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:38:04.527Z
KAN-647,E3-04 Gesamtpreis anzeigen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:36:40.522Z
KAN-648,E3-04 Gesamtpreis anzeigen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:35:19.923Z
KAN-649,E3-05 Nichtverfügbarkeit erkennen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:33:54.709Z
KAN-650,E3-05 Nichtverfügbarkeit erkennen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:32:33.366Z
KAN-651,E3-05 Nichtverfügbarkeit erkennen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:31:04.506Z
KAN-652,E3-06 Warenkorb persistent halten - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:29:43.206Z
KAN-653,E3-06 Warenkorb persistent halten - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:28:18.090Z
KAN-654,E3-06 Warenkorb persistent halten - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:26:56.720Z
KAN-655,E3-07 Als Gast bestellen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:25:32.673Z
KAN-656,E3-07 Als Gast bestellen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:24:12.076Z
KAN-657,E3-07 Als Gast bestellen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:22:48.167Z
KAN-658,E3-08 Mit Kundenkonto bestellen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:21:26.665Z
KAN-659,E3-08 Mit Kundenkonto bestellen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:20:02.123Z
KAN-660,E3-08 Mit Kundenkonto bestellen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:18:40.255Z
KAN-661,E3-09 Lieferadresse verwalten - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:17:16.044Z
KAN-662,E3-09 Lieferadresse verwalten - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:15:54.223Z
KAN-663,E3-09 Lieferadresse verwalten - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:14:25.339Z
KAN-664,E3-10 Versandart auswählen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:13:03.783Z
KAN-665,E3-10 Versandart auswählen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:11:38.166Z
KAN-666,E3-10 Versandart auswählen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:10:16.902Z
KAN-667,E3-11 Bestellung vor dem Kauf prüfen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:08:52.896Z
KAN-668,E3-11 Bestellung vor dem Kauf prüfen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:07:31.922Z
KAN-669,E3-11 Bestellung vor dem Kauf prüfen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:06:05.126Z
KAN-670,E3-12 Formularfehler verstehen - Kauf erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:04:44.318Z
KAN-671,E3-12 Formularfehler verstehen - Abbruch und Nichtverfügbarkeit,PASSED,1,PASSED,KAN-899,2026-08-15T06:03:18.298Z
KAN-672,E3-12 Formularfehler verstehen - Doppelte Aktion und Kontoflow,FAILED,1,FAILED,KAN-899,2026-08-15T06:01:56.254Z
KAN-673,E4-01 Mit PayPal bezahlen - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T06:00:30.702Z
KAN-674,E4-01 Mit PayPal bezahlen - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-15T05:59:09.896Z
KAN-675,E4-01 Mit PayPal bezahlen - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-15T05:57:45.066Z
KAN-676,E4-02 Zahlbetrag vor Zahlung prüfen - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T05:56:22.429Z
KAN-677,E4-02 Zahlbetrag vor Zahlung prüfen - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-15T05:54:52.611Z
KAN-678,E4-02 Zahlbetrag vor Zahlung prüfen - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-15T05:53:33.618Z
KAN-679,E4-03 Fehlgeschlagene Zahlung verstehen - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T05:52:09.825Z
KAN-680,E4-03 Fehlgeschlagene Zahlung verstehen - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-15T05:50:50.682Z
KAN-681,E4-03 Fehlgeschlagene Zahlung verstehen - Idempotenz und Adminbetrieb,PASSED,1,PASSED,KAN-899,2026-08-15T05:49:38.964Z
KAN-682,E4-04 Bestand reservieren - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T05:29:30.507Z
KAN-683,E4-04 Bestand reservieren - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-15T05:28:35.549Z
KAN-684,E4-04 Bestand reservieren - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-15T05:27:41.009Z
KAN-685,E4-05 Reservierungen freigeben - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T05:26:45.813Z
KAN-686,E4-05 Reservierungen freigeben - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-15T05:24:00.079Z
KAN-687,E4-05 Reservierungen freigeben - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-15T05:22:42.805Z
KAN-688,E4-06 Zahlung verifizieren - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-15T05:21:25.343Z
KAN-689,E4-06 Zahlung verifizieren - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-15T05:20:07.978Z
KAN-690,E4-06 Zahlung verifizieren - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-15T05:18:46.956Z
KAN-691,E4-07 Bestellstatus aktualisieren - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T20:45:56.313Z
KAN-692,E4-07 Bestellstatus aktualisieren - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-14T20:44:50.420Z
KAN-693,E4-07 Bestellstatus aktualisieren - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-14T20:43:54.536Z
KAN-694,E4-08 Doppelte Zahlungsbestätigungen verhindern - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T20:42:59.400Z
KAN-695,E4-08 Doppelte Zahlungsbestätigungen verhindern - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-14T20:41:57.976Z
KAN-696,E4-08 Doppelte Zahlungsbestätigungen verhindern - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-14T20:41:02.457Z
KAN-697,E4-09 Bestellungen administrieren - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T20:40:01.816Z
KAN-698,E4-09 Bestellungen administrieren - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-14T20:39:03.583Z
KAN-699,E4-09 Bestellungen administrieren - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-14T20:38:02.524Z
KAN-700,E4-10 Bestellung für Versand vorbereiten - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T20:37:02.473Z
KAN-701,E4-10 Bestellung für Versand vorbereiten - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-14T20:36:05.207Z
KAN-702,E4-10 Bestellung für Versand vorbereiten - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-14T20:35:07.032Z
KAN-703,E4-11 Sendungsnummer anzeigen - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T20:34:02.381Z
KAN-704,E4-11 Sendungsnummer anzeigen - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-14T20:33:04.286Z
KAN-705,E4-11 Sendungsnummer anzeigen - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-14T20:32:02.166Z
KAN-706,E4-12 Bestellung stornieren oder erstatten - Zahlung erfolgreich,PASSED,1,PASSED,KAN-899,2026-08-14T20:31:04.163Z
KAN-707,E4-12 Bestellung stornieren oder erstatten - Fehlzahlung und Abbruch,PASSED,1,PASSED,KAN-899,2026-08-14T20:29:55.783Z
KAN-708,E4-12 Bestellung stornieren oder erstatten - Idempotenz und Adminbetrieb,FAILED,1,FAILED,KAN-899,2026-08-14T20:28:54.551Z
KAN-709,E5-01 Kundenkonto registrieren - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T20:27:53.861Z
KAN-710,E5-01 Kundenkonto registrieren - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T20:26:53.882Z
KAN-711,E5-01 Kundenkonto registrieren - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T20:25:47.622Z
KAN-712,E5-02 E-Mail-Adresse bestätigen - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T20:24:38.079Z
KAN-713,E5-02 E-Mail-Adresse bestätigen - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T20:23:38.164Z
KAN-714,E5-02 E-Mail-Adresse bestätigen - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T20:22:36.123Z
KAN-715,E5-03 Ein- und ausloggen - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T20:21:37.735Z
KAN-716,E5-03 Ein- und ausloggen - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T20:20:36.448Z
KAN-717,E5-03 Ein- und ausloggen - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T20:19:23.366Z
KAN-718,E5-04 Passwort zurücksetzen - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T20:14:38.790Z
KAN-719,E5-04 Passwort zurücksetzen - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T20:13:14.714Z
KAN-720,E5-04 Passwort zurücksetzen - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T20:11:53.023Z
KAN-721,E5-05 Persönliche Daten bearbeiten - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T20:10:18.352Z
KAN-722,E5-05 Persönliche Daten bearbeiten - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T20:08:55.263Z
KAN-723,E5-05 Persönliche Daten bearbeiten - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T20:07:32.363Z
KAN-724,E5-06 Lieferadressen verwalten - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T20:06:04.345Z
KAN-725,E5-06 Lieferadressen verwalten - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T20:04:37.859Z
KAN-726,E5-06 Lieferadressen verwalten - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T20:02:52.673Z
KAN-727,E5-07 Bestellhistorie einsehen - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T20:01:31.085Z
KAN-728,E5-07 Bestellhistorie einsehen - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T20:00:04.103Z
KAN-729,E5-07 Bestellhistorie einsehen - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T19:58:24.519Z
KAN-730,E5-08 Bestellstatus verfolgen - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T19:52:42.509Z
KAN-731,E5-08 Bestellstatus verfolgen - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T19:55:36.285Z
KAN-732,E5-08 Bestellstatus verfolgen - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T19:49:57.585Z
KAN-733,E5-09 Bestellung erneut zusammenstellen - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T19:48:12.216Z
KAN-734,E5-09 Bestellung erneut zusammenstellen - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T19:46:54.382Z
KAN-735,E5-09 Bestellung erneut zusammenstellen - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T19:45:36.966Z
KAN-736,E5-10 Konto löschen oder Daten exportieren - Konto-Lebenszyklus,PASSED,1,PASSED,KAN-899,2026-08-14T19:43:12.990Z
KAN-737,E5-10 Konto löschen oder Daten exportieren - Eigene Daten und Historie,PASSED,1,PASSED,KAN-899,2026-08-14T19:37:35.816Z
KAN-738,E5-10 Konto löschen oder Daten exportieren - Datenschutz und Berechtigung,FAILED,1,FAILED,KAN-899,2026-08-14T19:15:03.834Z
KAN-739,E6-01 Einzelne Karte anbieten - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T19:14:16.699Z
KAN-740,E6-01 Einzelne Karte anbieten - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T19:08:22.850Z
KAN-741,E6-01 Einzelne Karte anbieten - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T19:07:45.404Z
KAN-742,E6-02 Sammlung anbieten - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T19:07:11.127Z
KAN-743,E6-02 Sammlung anbieten - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T19:06:32.386Z
KAN-744,E6-02 Sammlung anbieten - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T19:05:58.325Z
KAN-745,E6-03 Verkaufsbilder hochladen - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T19:05:17.860Z
KAN-746,E6-03 Verkaufsbilder hochladen - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T19:04:43.458Z
KAN-747,E6-03 Verkaufsbilder hochladen - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T19:04:02.661Z
KAN-748,E6-04 Verkaufsdaten erfassen - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T19:03:25.255Z
KAN-749,E6-04 Verkaufsdaten erfassen - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T19:02:44.091Z
KAN-750,E6-04 Verkaufsdaten erfassen - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T19:02:09.709Z
KAN-751,E6-05 Verkaufszustand angeben - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T19:01:28.905Z
KAN-752,E6-05 Verkaufszustand angeben - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T19:00:55.065Z
KAN-753,E6-05 Verkaufszustand angeben - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T19:00:13.150Z
KAN-754,E6-06 Preiswunsch angeben - Angebot einreichen,PASSED,1,PASSED,KAN-899,2026-08-14T18:59:35.876Z
KAN-755,E6-06 Preiswunsch angeben - Ungültige und fremde Daten,PASSED,1,PASSED,KAN-899,2026-08-14T18:58:54.641Z
KAN-756,E6-06 Preiswunsch angeben - Angebotsstatus und Auszahlung,FAILED,1,FAILED,KAN-899,2026-08-14T18:58:16.925Z
