Issue Key,Work type,Summary,Description,Priority,Epic
KAN-20,Story,E1-11 Karten importieren und synchronisieren,"Als Admin möchte ich Karten und Sets gesammelt importieren oder synchronisieren.

Akzeptanzkriterien
1. Pflichtfelder, Datentypen und fachliche Wertebereiche werden vor dem Speichern validiert.
2. Eine erfolgreiche Änderung ist nach dem erneuten Laden konsistent sichtbar und beeinflusst nur den betroffenen Katalogeintrag.
3. Ungültige oder unvollständige Eingaben werden verständlich markiert, ohne bereits gültige Eingaben zu verlieren.
4. Berechtigungen werden geprüft; nicht berechtigte Nutzer können den Vorgang weder ausführen noch über einen direkten Aufruf umgehen.
5. Dubletten, verwaiste Datensätze und widersprüchliche Zustände werden erkannt und nachvollziehbar behandelt.
6. Die Funktion ist für relevante Desktop- und Smartphone-Breakpoints bedienbar und erzeugt strukturierte Logs für Fehlerfälle.",Highest,KAN-1
KAN-21,Story,E2-01 Karten suchen,"Als Kunde möchte ich nach Karten, Spielern, Vereinen und Serien suchen.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-22,Story,E2-02 Suchvorschläge erhalten,"Als Kunde möchte ich während der Eingabe Suchvorschläge erhalten.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",High,KAN-2
KAN-23,Story,E2-03 Nach Sportart und Saison filtern,"Als Kunde möchte ich nach Sportart, Liga und Saison filtern.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-24,Story,E2-04 Nach Kartentyp und Set filtern,"Als Kunde möchte ich nach Kartentyp, Set und Seltenheit filtern.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-25,Story,E2-05 Nach Zustand filtern,"Als Kunde möchte ich nach Zustand und Grading filtern.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-26,Story,E2-06 Nach Preis und Verfügbarkeit filtern,"Als Kunde möchte ich nach Preis und Verfügbarkeit filtern.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-27,Story,E2-07 Filter kombinieren,"Als Kunde möchte ich mehrere Filter kombinieren.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-28,Story,E2-08 Ergebnisse sortieren,"Als Kunde möchte ich Ergebnisse sortieren.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-29,Story,E2-09 Ergebnisse paginieren,"Als Kunde möchte ich Ergebnisse paginiert oder kontinuierlich laden.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-30,Story,E2-10 Produktdetailseite anzeigen,"Als Kunde möchte ich auf einer Produktdetailseite alle Kartendaten sehen.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-31,Story,E2-11 Produktbilder vergrößern,"Als Kunde möchte ich Bilder vergrößern und durch eine Galerie blättern.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-32,Story,E2-12 Ähnliche Karten anzeigen,"Als Kunde möchte ich ähnliche oder passende Karten angezeigt bekommen.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",High,KAN-2
KAN-33,Story,E2-13 Leere und fehlerhafte Ergebnisse verstehen,"Als Kunde möchte ich verständliche Zustände bei leeren oder fehlerhaften Suchergebnissen sehen.

Akzeptanzkriterien
1. Die Suche beziehungsweise Filterung liefert bei gültigen Eingaben reproduzierbare Ergebnisse aus dem aktuellen Produktbestand.
2. Mehrere Kriterien werden logisch korrekt kombiniert; Trefferzahl, Sortierung und Pagination bleiben konsistent.
3. Leere, ungültige und technische Fehlerzustände werden verständlich unterschieden und bieten eine sinnvolle nächste Aktion.
4. Die URL beziehungsweise der Zustand kann bei unterstützten Filtern sicher geteilt oder erneut geladen werden.
5. Die Funktion ist tastaturbedienbar, responsiv und bleibt auch bei langen Ergebnismengen performant.
6. Nicht verfügbare oder unvollständige Produktdaten werden nicht irreführend als kaufbar dargestellt.",Highest,KAN-2
KAN-34,Story,E3-01 Karte in den Warenkorb legen,"Als Kunde möchte ich eine Karte in den Warenkorb legen.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-35,Story,E3-02 Warenkorbmenge ändern,"Als Kunde möchte ich die Menge im Warenkorb ändern.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-36,Story,E3-03 Warenkorbartikel entfernen,"Als Kunde möchte ich Artikel aus dem Warenkorb entfernen.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-37,Story,E3-04 Gesamtpreis anzeigen,"Als Kunde möchte ich jederzeit den aktuellen Gesamtpreis sehen.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-38,Story,E3-05 Nichtverfügbarkeit erkennen,"Als Kunde möchte ich informiert werden, wenn ein Artikel nicht mehr verfügbar ist.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-39,Story,E3-06 Warenkorb persistent halten,"Als Kunde möchte ich meinen Warenkorb über mehrere Seitenaufrufe hinweg behalten.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",High,KAN-3
KAN-40,Story,E3-07 Als Gast bestellen,"Als Gast möchte ich ohne Kundenkonto bestellen können.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-41,Story,E3-08 Mit Kundenkonto bestellen,"Als eingeloggter Kunde möchte ich mit meinem Kundenkonto bestellen.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",High,KAN-3
KAN-42,Story,E3-09 Lieferadresse verwalten,"Als Kunde möchte ich meine Lieferadresse eingeben und ändern können.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
KAN-43,Story,E3-10 Versandart auswählen,"Als Kunde möchte ich verfügbare Versandarten und Versandkosten sehen.

Akzeptanzkriterien
1. Der Warenkorb beziehungsweise Checkout hält Mengen, Preise und Verfügbarkeit über alle relevanten Schritte konsistent.
2. Jede Änderung aktualisiert Zwischensummen, Versandkosten und Gesamtbetrag nachvollziehbar.
3. Nicht verfügbare oder zwischenzeitlich geänderte Artikel werden vor dem Kauf erkannt und sicher behandelt.
4. Gast- und Kundenkonto-Flows verwenden dieselben fachlichen Preis-, Bestands- und Validierungsregeln.
5. Adress-, Versand- und Formulareingaben werden feldgenau validiert und verständlich erklärt.
6. Vor dem Absenden kann der Nutzer alle kaufrelevanten Daten prüfen; ein erneutes Absenden erzeugt keine Doppelbestellung.",Highest,KAN-3
